paper_title,author_names,year,publication_venue,index
the next databa revolut,jim gray,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac85
the role of cryptographi in databa secur,ueli maurer,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac86
tree logic class for effici evalu of xqueri,"stelios paparizos, yuqing wu, laks v. s. lakshmanan, h. v. jagadish",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac8d
adapt stream resourc manag use kalman filter,"ankur jain, edward y. chang, yuan-fang wang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac88
holist udaf at stream speed,"graham cormode, theodore johnson, flip korn, s. muthukrishnan, oliver spatscheck, divesh srivastava",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac8a
onlin eventdriven subsequ match over financ data stream,"huanmei wu, betty salzberg, donghui zhang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac89
use the structur of web site for automat segment of tabl,"kristina lerman, lise getoor, steven minton, craig knoblock",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac91
flexpath flexibl structur and fulltext queri for xml,"sihem amer-yahia, laks v. s. lakshmanan, shashank pandit",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac8e
an interact clusteringba approach to integr sourc queri interfac on the deep web,"wensheng wu, clement yu, anhai doan, weiyi meng",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac8f
lazi queri evalu for activ xml,"serge abiteboul, omar benjelloun, bogdan cautis, ioana manolescu, tova milo, nicoleta preda",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac9a
color xml one hierarchi isnt enough,"h. v. jagadish, laks v. s. lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac9c
effect use of blocklevel sampl in statist estim,"surajit chaudhuri, gautam das, utkarsh srivastava",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac9f
the prioriti rtree a practic effici and worstca optim rtree,"lars arge, mark de berg, herman j. haverkort, ke yi",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca4
onlin mainten of veri larg random sampl,"christopher jermaine, abhijit pol, subramanian arumugam",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca0
integr vertic and horizont partit into autom physic databa design,"sanjay agrawal, vivek narasayya, beverly yang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca5
graph index a frequent structureba approach,"xifeng yan, philip s. yu, jiawei han",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca3
condit select for statist on queri express,"nicolas bruno, surajit chaudhuri",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca1
