paper_title,author_names,year,publication_venue,index
an initi studi of overhead of eddi,amol deshpande,2004,sigmod record,53e9a515b7602d9702e350a0
engin feder inform system report of efi 99 workshop,"stefan conrad, wilhelm hasselbring, uwe hohenstein, ralf-detlef kutsche, mark roantree, gunter saake, fèlix saltor",1999,sigmod record,53e9b275b7602d9703d174f6
inform find in a digit librari the stanford perspect,"tak w. yan, hector garcia-molina",1995,sigmod record,53e9a5beb7602d9702eea180
editor note,jennifer widom,1995,sigmod record,53e99800b7602d970200b618
report on the 5th intern workshop on the design and manag of data warehous dmdw03,"hans-joachim lenz, panos vassiliadis, manfred a. jeusfeld, martin staudt",2003,sigmod record,53e9a718b7602d970304d814
editor note,ling liu,2002,sigmod record,53e99800b7602d970200b603
report from the nsf workshop on workflow and process autom in inform system,"amit p. sheth, dimitrios georgakopoulos, stef joosten, marek rusinkiewicz, walt scacchi, jack c. wileden, alexander l. wolf",1996,sigmod record,53e99e6ab7602d970272e079
tod percept and misconcept,richard t. snodgrass,2002,sigmod record,53e99ae6b7602d970236d5f2
sqlmed a status report,"jim melton, jan-eike michels, vanja josifovski, krishna g. kulkarni, peter m. schwarz",2002,sigmod record,53e9b4d4b7602d9703ff2db2
2003 sigmod innov award speech,donald d. chamberlin,2003,sigmod record,53e9b4a5b7602d9703fb2f20
jeffrey d ullman speak out on the futur of higher educ startup databas theori and more,marianne winslett,2001,sigmod record,53e9aadfb7602d97034628ed
research issu for data communic in mobil adhoc network databas system,"leslie d. fife, le gruenwald",2003,sigmod record,53e9a7b3b7602d97030eda57
chair messag,richard t. snodgrass,1998,sigmod record,53e99809b7602d970201f8e3
an approach to confid base page rank for user orient web search,"debajyoti mukhopadhyay, debasis giri, sanasam ranbir singh",2003,sigmod record,53e9a515b7602d9702e363b7
a comparison of three user interfac to relat microcomput data base,"carl medsker, margaret christensen, il-yeol song",1995,sigmod record,53e9bd1eb7602d97049a89a1
object queri standard,andrew e. wade,1996,sigmod record,53e9983db7602d9702063cf1
constraint for semistructur data and xml,"peter buneman, wenfei fan, jérôme siméon, scott weinstein",2001,sigmod record,53e9b991b7602d97045848ab
databas principl column introduct,leonid libkin,1999,sigmod record,53e99a26b7602d9702280826
report on dart 96 databas activ and realtim concept meet practic,"krithi ramamritham, nandit soparkar",1997,sigmod record,53e9a743b7602d970307ad1e
a multiag system infrastructur for softwar compon marketplac an ontolog perspect,"riza cenk erdur, oguz dikenelli",2002,sigmod record,53e9bd8cb7602d9704a359db
research in multiorganiz process and semant inform broker at the lsdis lab,"amit p. sheth, john a. miller, krys kochut, ismailcem budak arpinar",2001,sigmod record,53e9b884b7602d97044555da
report on the second ieee metadata confer metadata 97,"ron musick, christopher miller 0002",1998,sigmod record,53e9b7cdb7602d970437bfc2
introduc an annot bibliographi on tempor and evolut aspect in the world wide web,fabio grandi,2004,sigmod record,53e9aa48b7602d97033b72fe
multiplex fusionplex and autoplex three generat of inform integr,"amihai motro, jacob berlin, philipp anokhin",2004,sigmod record,53e9ba85b7602d97046a99f2
report on the first xqueri implement experi and perspect workshop ximep,"ioana manolescu, yannis papakonstantinou",2004,sigmod record,53e9b152b7602d9703bd3739
integr dynamicallyfetch extern inform into a dbms for semistructur data,"jason mchugh, jennifer widom",1997,sigmod record,53e9b414b7602d9703f0bd27
wwwudk a webbas environment metainform system,"ralf kramer, ralf nikolai, arne koschel, claudia rolker, peter c. lockemann, andree keitel, rudolf legat, konrad zirm",1997,sigmod record,53e9a2ebb7602d9702bf3118
