dblp_index,acm_index
53e9a515b7602d9702e350a0,5390962020f70186a0df3f45
53e9b275b7602d9703d174f6,539087f320f70186a0d6f962
53e9b275b7602d9703d174f6,539087f320f70186a0d6f86a
53e9b275b7602d9703d174f6,539087f320f70186a0d70a28
53e9b275b7602d9703d174f6,539087fe20f70186a0d758e0
53e9b275b7602d9703d174f6,539087fe20f70186a0d758e1
53e9b275b7602d9703d174f6,5390880220f70186a0d77f6f
53e9a5beb7602d9702eea180,539087cb20f70186a0d594f6
53e9a5beb7602d9702eea180,539087cb20f70186a0d594f7
53e9a5beb7602d9702eea180,539087cb20f70186a0d594f9
53e9a5beb7602d9702eea180,539087cb20f70186a0d594fa
53e9a5beb7602d9702eea180,539087cb20f70186a0d594ef
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b1ec
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b201
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b531
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b53c
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b540
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b542
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b541
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b6df
53e9a5beb7602d9702eea180,539087cf20f70186a0d5b6f2
53e9a5beb7602d9702eea180,539087cf20f70186a0d5d016
53e9a5beb7602d9702eea180,539087cf20f70186a0d5d021
53e9a5beb7602d9702eea180,539087cf20f70186a0d5d025
53e9a5beb7602d9702eea180,539087d420f70186a0d5df13
53e9a5beb7602d9702eea180,539087d420f70186a0d5df0b
53e9a5beb7602d9702eea180,539087d420f70186a0d5df15
53e9a5beb7602d9702eea180,539087d420f70186a0d5df22
53e9a5beb7602d9702eea180,539087d420f70186a0d5df23
53e9a5beb7602d9702eea180,539087d420f70186a0d5df3d
53e9a5beb7602d9702eea180,539087d420f70186a0d5df3f
53e9a5beb7602d9702eea180,539087d420f70186a0d5df43
53e9a5beb7602d9702eea180,539087d420f70186a0d5df51
53e9a5beb7602d9702eea180,539087d420f70186a0d5df4c
53e9a5beb7602d9702eea180,539087d420f70186a0d5df57
53e9a5beb7602d9702eea180,539087d420f70186a0d5df58
53e9a5beb7602d9702eea180,539087d420f70186a0d5df3e
53e9a5beb7602d9702eea180,539087d420f70186a0d5df73
53e9a5beb7602d9702eea180,539087d420f70186a0d5df75
53e9a5beb7602d9702eea180,539087d420f70186a0d5df76
53e9a5beb7602d9702eea180,539087d420f70186a0d5df7a
53e9a5beb7602d9702eea180,539087d420f70186a0d5df7b
53e9a5beb7602d9702eea180,539087d420f70186a0d5df79
53e9a718b7602d970304d814,53908b4920f70186a0dbc91d
53e9a718b7602d970304d814,53908d6520f70186a0dd1a12
53e9a718b7602d970304d814,53908d6520f70186a0dd1a37
53e9a718b7602d970304d814,53908d6520f70186a0dd1a3a
53e9a718b7602d970304d814,53908d6520f70186a0dd1a2d
53e9a718b7602d970304d814,53908d6520f70186a0dd1a1e
53e9a718b7602d970304d814,539095ba20f70186a0df0f15
53e9a718b7602d970304d814,539095ba20f70186a0df0f12
53e99e6ab7602d970272e079,539087d920f70186a0d5ff6f
53e99e6ab7602d970272e079,539087d920f70186a0d5ff77
53e99e6ab7602d970272e079,539087d920f70186a0d5ff78
53e99e6ab7602d970272e079,539087d920f70186a0d5ff7c
53e99e6ab7602d970272e079,539087d920f70186a0d5ff7e
53e99e6ab7602d970272e079,539087d920f70186a0d5ff85
53e99e6ab7602d970272e079,539087d920f70186a0d5ff80
53e99e6ab7602d970272e079,539087d920f70186a0d5ff7d
53e99e6ab7602d970272e079,539087d920f70186a0d5ff8a
53e99e6ab7602d970272e079,539087d920f70186a0d5ff94
53e99e6ab7602d970272e079,539087d920f70186a0d5ff89
53e99e6ab7602d970272e079,539087d920f70186a0d5ff9b
53e99e6ab7602d970272e079,539087d920f70186a0d5ff9c
53e99e6ab7602d970272e079,539087d920f70186a0d5ff97
53e99e6ab7602d970272e079,539087d920f70186a0d5ff96
53e99e6ab7602d970272e079,539087d920f70186a0d5ffa0
53e99e6ab7602d970272e079,539087d920f70186a0d5ffa1
53e99e6ab7602d970272e079,539087d920f70186a0d5ff8b
53e99e6ab7602d970272e079,539087d920f70186a0d5ffa3
53e99e6ab7602d970272e079,539087d920f70186a0d5ff9f
53e99e6ab7602d970272e079,539087d920f70186a0d5ff9e
53e99e6ab7602d970272e079,539087d920f70186a0d604ed
53e99e6ab7602d970272e079,539087d920f70186a0d604f1
53e99e6ab7602d970272e079,539087d920f70186a0d604ec
53e99e6ab7602d970272e079,539087d920f70186a0d604eb
53e99e6ab7602d970272e079,539087d920f70186a0d60e3b
53e99e6ab7602d970272e079,539087d920f70186a0d60e48
53e99e6ab7602d970272e079,539087d920f70186a0d60e56
53e99e6ab7602d970272e079,539087d920f70186a0d60e57
53e99e6ab7602d970272e079,539087dd20f70186a0d62b4b
53e99e6ab7602d970272e079,539087dd20f70186a0d62b49
53e99e6ab7602d970272e079,539087eb20f70186a0d6a44a
53e99e6ab7602d970272e079,539087eb20f70186a0d6a448
53e99e6ab7602d970272e079,539087eb20f70186a0d6a44f
53e99e6ab7602d970272e079,539087eb20f70186a0d6a44b
53e99e6ab7602d970272e079,539087eb20f70186a0d6a452
53e99e6ab7602d970272e079,539087eb20f70186a0d6a44c
53e99e6ab7602d970272e079,539087eb20f70186a0d6a44e
53e99e6ab7602d970272e079,539087eb20f70186a0d6a44d
53e99e6ab7602d970272e079,539087fe20f70186a0d758e1
53e99e6ab7602d970272e079,5390881220f70186a0d7f829
53e99e6ab7602d970272e079,5390881220f70186a0d7f823
53e99e6ab7602d970272e079,5390881220f70186a0d7f822
53e99e6ab7602d970272e079,5390881220f70186a0d7f82e
53e99ae6b7602d970236d5f2,5390880d20f70186a0d7b5ca
53e99ae6b7602d970236d5f2,5390881820f70186a0d8111e
53e99ae6b7602d970236d5f2,5390882420f70186a0d890a0
53e99ae6b7602d970236d5f2,5390882d20f70186a0d8daae
53e99ae6b7602d970236d5f2,5590dd220cf25001c36ef7eb
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75edc
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75efa
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75eff
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75f04
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75f37
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75f11
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d75f1e
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d76303
53e9b4d4b7602d9703ff2db2,5390880220f70186a0d76304
53e9b4d4b7602d9703ff2db2,5390882420f70186a0d89099
53e9b4d4b7602d9703ff2db2,5390882420f70186a0d89091
53e9b4d4b7602d9703ff2db2,5390882d20f70186a0d8daae
53e9b4d4b7602d9703ff2db2,5390882d20f70186a0d8dab2
53e9b4d4b7602d9703ff2db2,5390882d20f70186a0d8daa6
53e9b4d4b7602d9703ff2db2,5390882d20f70186a0d8dab3
53e9b4d4b7602d9703ff2db2,5390882d20f70186a0d8daa7
53e9b4d4b7602d9703ff2db2,5390882d20f70186a0d8daef
53e9b4d4b7602d9703ff2db2,539089ab20f70186a0d96afb
53e9aadfb7602d97034628ed,5390975920f70186a0dfe2b9
53e9aadfb7602d97034628ed,5390881220f70186a0d7e353
53e9aadfb7602d97034628ed,5390881820f70186a0d81119
53e9aadfb7602d97034628ed,5390882d20f70186a0d8db9c
